gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100000024	35.013455397473	1.24661744843895	0.67068651432376	1.85871852469837	0.0630670462908511	0.125214535533142
LOC100000576	401.250549632394	-0.211591699565471	0.220421933332025	-0.959939405153239	0.337085712521261	0.467804218396055
LOC100000851	2.21568242903409	0.0301925781582344	1.22655691848025	0.0246157171374029	0.980361482635694	0.988410781518122
LOC100001344	61.3669504719708	-0.102715266370864	0.24655741843934	-0.416597752446597	0.676972653579853	0.77412529347998
LOC100001550	42.2409121315754	0.541586881529587	0.334623060680761	1.61849837972248	0.105555235727406	0.19033711248971
LOC100002237	1.72513493430087	1.33598710534571	1.94309653588866	0.687555703316976	0.491732611291073	0.619462025277764
LOC100002333	64.6275620641306	0.22063165134676	0.253260163272765	0.871166031387008	0.383663504291631	0.515587666066328
LOC100002960	11.8542815760886	-1.44090656084198	0.681403188525838	-2.11461669846199	0.0344626292824967	0.0762123396884029
LOC100003308	7.3481545463751	-1.1436147825395	0.86229615441487	-1.32624363066483	0.184759011587229	0.296567540424739
LOC100003647	6.44181446855555	-1.35203019641271	0.838186595760678	-1.61304201624186	0.106735379789753	0.192037111230831
LOC100006053	10.3529502401925	2.53786327514933	0.738150566649152	3.43813767788597	0.000585729809201875	0.00242344827495589
LOC100006122	10.4085759505467	-2.36180921676362	0.887688657965108	-2.66062790773705	0.00779950968039273	0.0221122771870627
LOC100006564	43.5406375324035	-0.40669327615561	0.308908720786991	-1.31654838076277	0.18799005115232	0.300247029787232
LOC100006761	1.72654372848047	2.34092673129017	1.78947684900992	1.30816262450411	0.190818156118365	0.303960969108521
LOC100006793	32.2278020208362	4.23997832042944	1.8214990659885	2.32774114442297	0.0199258529720615	0.0484769601848156
LOC100007315	459.242982471636	0.173097438192451	0.171659203623808	1.00837842969256	0.313272824139708	0.443483391702872
LOC100007703	3.8083225111445	-0.215455303074545	1.1650008466626	-0.184940039907922	0.85327606534779	0.905416690589318
LOC100008037	2.982024903278	3.31671533870616	1.37457548228533	2.41290156957541	0.0158260928983441	0.0398856983014342
LOC100141478	5.14502209296168	0.793593042843236	1.15839609604552	0.685079175898783	0.493293960059025	0.620815504455689
LOC100141479	8.48632554181359	1.45824482210191	1.30756200688758	1.11523951783595	0.264747795809947	0.390338382908898
LOC100148329	2109.02633028602	0.726259784675441	0.164905395392509	4.40409959265913	1.06224138740188e-05	7.33752174833656e-05
LOC100149066	1597.78509385278	-0.0804733316485012	0.181419188922035	-0.443576735882579	0.657348628547252	0.758305291763995
LOC100149164	30.5385654595415	-0.531750249915894	0.339736659035228	-1.56518360846292	0.117539863795219	0.207940024025682
LOC100149189	660.535430318655	0.127376853114554	0.134810271372187	0.944860149141671	0.34473027894693	0.475534155101016
LOC100149258	207.662216512665	-0.514841457483195	0.221266063723446	-2.32679810369239	0.0199760133952831	0.0485560466994217
LOC100149406	5.31865704601311	-0.652321133029626	0.785521218168522	-0.8304309520124	0.406295171723201	0.53946490603487
LOC100149618	21.6747405338033	0.442847947453797	0.397989588205966	1.11271239393483	0.265831970837418	0.391601017023031
LOC100149863	735.303657636548	0.46919840067309	0.18158950753599	2.58384092252741	0.0097706848389241	0.0266937283650622
LOC100151049	71.8123433374955	-0.181880614137812	0.231177432207202	-0.7867576536398	0.431423746984902	0.563633589083628
LOC100151273	139.166114379971	0.734872197120371	0.233234845749657	3.15078218590522	0.00162833874772784	0.00587166827412193
LOC100151367	1.97481018647961	-0.728239313055742	1.48776383167671	-0.489485829370522	0.624497784514671	0.730395274294606
LOC100189617	229.903367709528	0.478330037761888	0.202962687831023	2.35673878225402	0.0184362104708415	0.0454722386308254
LOC100301575	2.47005558565579	1.61436763033578	1.3769767013525	1.17240010578981	0.24103645705893	0.362688664543923
LOC100329294	3.70098747373719	0.136584972475791	0.973826170376365	0.140256009368699	0.888457720121685	0.930047117128447
LOC100331176	3.3359572725303	-3.92014547038642	1.54797109705018	-2.5324409983214	0.0113271431029219	0.0301354825351658
LOC100331190	498.979944409643	-0.664216869202808	0.186275467663436	-3.5657774882247	0.000362779081256226	0.00159759868860611
LOC100332913	102.960750159615	-0.654231568319155	0.247221596338489	-2.64633663890512	0.00813687960456224	0.0229063165273772
LOC100333064	3221.93485818906	-0.0930366271853173	0.0998752852808965	-0.931528024412189	0.351580495079393	0.482178554928888
LOC100500728	98.2929575455827	0.159699046264233	0.195887573750806	0.815258687451972	0.414924251014107	0.548117685543849
LOC100534660	282.832326259146	-0.311572203759074	0.156821594487736	-1.98679400484888	0.0469452292653547	0.0986459492874596
LOC100535473	1.62306708327593	0.74022493983255	1.70060134290275	0.435272465779113	0.663364668283466	0.76275012815839
LOC100535586	322.784212465224	-0.889304226706907	0.131981068300173	-6.7381196270082	1.60449448772347e-11	3.7785295701474e-10
LOC100536659	185.684841686362	0.200090873939271	0.21971897616548	0.910667241543004	0.362470729387061	0.493765842042417
LOC100537295	3792.60541706221	-0.806092991911415	0.144609845502938	-5.57426079191158	2.4858311211359e-08	3.15431965876276e-07
LOC100537897	63.94389730968	-1.08465818585129	0.314508969976633	-3.44873529658591	0.000563218526502	0.00235008421048517
LOC101882557	71.8421972065729	-1.32812121602428	0.328989231131889	-4.0369747406469	5.41448959984951e-05	0.000305186374863649
LOC101886520	7.52947322436957	0.759268527433021	0.813632940194662	0.933183122172225	0.350725427479096	0.481245815037414
LOC101886726	262.13966337408	-0.712301210511654	0.14159872749083	-5.03042098706561	4.89404043832872e-07	4.69389733037955e-06
