Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
negative regulation of MAP kinase activity (GO:0043407)	1/14	0.3415783010692708	0.6412451541545819	0.3184083631764766	0.58694553693977	-0.7350786915381241	0.7896056090466148	spry1
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-1.3344042199135762	0.7893787300783696	bcl2l16
glomerular visceral epithelial cell development (GO:0072015)	1/25	0.5259657892697723	0.7121483695422581	0.48562453775281295	0.6527135075506328	-1.2198587835250303	0.7837825771967059	crb2b
potassium ion homeostasis (GO:0055075)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-1.2691778996682703	0.7822382521641849	slc12a3
regulation of cell cycle process (GO:0010564)	2/48	0.41429394316831664	0.6636986081314468	0.36057779200060874	0.6036812290806336	-0.8867708726788059	0.781404358043691	ccng2;wnt4b
negative regulation of mitotic cell cycle (GO:0045930)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-1.316783037676188	0.7789547624009218	wnt4b
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	1/14	0.3415783010692708	0.6412451541545819	0.3184083631764766	0.58694553693977	-0.7192635430796256	0.7726173191199878	bcl2l16
sodium ion homeostasis (GO:0055078)	1/23	0.49677748630809854	0.7005249346095768	0.4586020262323579	0.635946616437016	-1.0939407483892465	0.7653352418835504	slc12a3
septin ring organization (GO:0031106)	2/33	0.2530687651604656	0.639121023225342	0.22044292058001064	0.58694553693977	-0.5542660044919963	0.7616136067690719	sept8b;zgc:172075
embryonic heart tube morphogenesis (GO:0003143)	5/128	0.3241366720061769	0.6412451541545819	0.24480620335259848	0.58694553693977	-0.6740863883410967	0.759419001062565	prickle1a;dhrs9;lmo7b;mef2cb;tbx16
cholesterol transport (GO:0030301)	1/24	0.5115892617472437	0.7072875636806774	0.47228553155213854	0.6451757707810465	-1.1063131892835707	0.7414878280000141	zgc:162608
long-term synaptic potentiation (GO:0060291)	1/14	0.3415783010692708	0.6412451541545819	0.3184083631764766	0.58694553693977	-0.6804762821453423	0.7309528835353026	shank2
response to amino acid (GO:0043200)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-1.2341691696975368	0.7300837912074454	rragd
neural crest cell differentiation (GO:0014033)	2/53	0.464425871891015	0.6841599589532088	0.4056394031487318	0.6111096107011297	-0.951357998567924	0.7296471758437032	dhrs9;capzb
digestive tract development (GO:0048565)	3/74	0.37150109526620584	0.6634980650863365	0.3071675132446998	0.58694553693977	-0.7203852618840908	0.7133279836066198	prickle1a;dhrs9;tbx16
neuron projection regeneration (GO:0031102)	1/25	0.5259657892697723	0.7121483695422581	0.48562453775281295	0.6527135075506328	-1.1055333378877208	0.7103262938703386	zgc:162608
regulation of endocytosis (GO:0030100)	1/28	0.566609712725819	0.7336357070272238	0.5236598816111979	0.6723353445022094	-1.24969807394468	0.7099341674872711	dmxl2
cellular response to organonitrogen compound (GO:0071417)	1/23	0.49677748630809854	0.7005249346095768	0.4586020262323579	0.635946616437016	-1.013727956029139	0.7092173242235036	rragd
divalent metal ion transport (GO:0070838)	2/51	0.444669522287196	0.6799508593324456	0.3877846370313872	0.6064502500763432	-0.8678531644597998	0.7033289628837692	cacna1sa;slc8a3
vasculogenesis (GO:0001570)	2/50	0.43464007179428144	0.6789935596174254	0.3787693056660661	0.6036812290806336	-0.842053673749596	0.7016302866864276	fbn2b;tbx16
inner ear receptor cell development (GO:0060119)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-1.1325112252114156	0.6980058521325077	cdh23
transforming growth factor beta receptor signaling pathway (GO:0007179)	1/28	0.566609712725819	0.7336357070272238	0.5236598816111979	0.6723353445022094	-1.2246506781733744	0.695705128941587	dusp22b
spindle assembly (GO:0051225)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.319858702998713	0.6924832572096641	birc7
amino acid transmembrane transport (GO:0003333)	1/29	0.5793692505312187	0.7459480673038693	0.535705153579166	0.6839740347505903	-1.2467439867422043	0.6804919011091393	slc32a1
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway (GO:0051482)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.293115643008679	0.6784521179312119	drd4a
response to ionizing radiation (GO:0010212)	1/29	0.5793692505312187	0.7459480673038693	0.535705153579166	0.6839740347505903	-1.236163876785328	0.6747171155757343	bbc3
positive regulation of vasculature development (GO:1904018)	1/24	0.5115892617472437	0.7072875636806774	0.47228553155213854	0.6451757707810465	-1.0022411614979074	0.6717352998860527	fgf1a
base-excision repair (GO:0006284)	1/25	0.5259657892697723	0.7121483695422581	0.48562453775281295	0.6527135075506328	-1.04243208714761	0.6697825345455899	mpg
striated muscle cell development (GO:0055002)	3/76	0.3875245413274774	0.6636986081314468	0.3210403107503505	0.5906112330036508	-0.6979725408180633	0.6616612869676347	ihhb;mef2ca;mef2cb
dorsal/ventral pattern formation (GO:0009953)	5/129	0.329945611576323	0.6412451541545819	0.2495364014779544	0.58694553693977	-0.5877673476413194	0.6517325701658663	eve1;chrdl2;ctsba;ddit4;wisp3
regulation of angiogenesis (GO:0045765)	2/55	0.48376139844583166	0.6945359619989722	0.4232417054755094	0.6160565505982589	-0.8960687110748884	0.6506923665970914	per2;fgf1a
positive regulation of Rho protein signal transduction (GO:0035025)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.237098933637121	0.6490621284757865	abrab
ubiquitin-dependent ERAD pathway (GO:0030433)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-1.2832046500262246	0.6474472641046909	zgc:136908
regulation of response to external stimulus (GO:0032101)	1/24	0.5115892617472437	0.7072875636806774	0.47228553155213854	0.6451757707810465	-0.9649377363709144	0.6467333059278252	bcl6a
embryonic retina morphogenesis in camera-type eye (GO:0060059)	1/28	0.566609712725819	0.7336357070272238	0.5236598816111979	0.6723353445022094	-1.1302844919179642	0.6420971565241237	reep6
lateral mesoderm development (GO:0048368)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-1.0770569493471596	0.6371426545344768	bcl9l
organic hydroxy compound biosynthetic process (GO:1901617)	1/22	0.4815173090093138	0.6939291831562795	0.4445651610953995	0.6240226573173957	-0.8626267408961462	0.6304189229089333	msmo1
gluconeogenesis (GO:0006094)	1/14	0.3415783010692708	0.6412451541545819	0.3184083631764766	0.58694553693977	-0.5809081666943068	0.623998970508889	pck1
Wnt signaling pathway (GO:0016055)	4/100	0.339057976416324	0.6412451541545819	0.2672931235968779	0.58694553693977	-0.5584459615816649	0.604006308690373	prickle1a;egf;nkd2a;wnt4b
negative regulation of TOR signaling (GO:0032007)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-1.0147979422238758	0.6003127830116627	tsc1b
neuron fate specification (GO:0048665)	1/28	0.566609712725819	0.7336357070272238	0.5236598816111979	0.6723353445022094	-1.0457317737120408	0.5940640636836804	drd4a
postsynaptic membrane organization (GO:0001941)	1/13	0.32162098579933607	0.6412451541545819	0.30075309993418675	0.58694553693977	-0.5172823581326383	0.5867955318873638	nlgn1
organelle fission (GO:0048285)	1/32	0.6154413443884614	0.7593752071889887	0.5700507859672249	0.7005443393814089	-1.1981766073245237	0.5816136591648828	dnm1a
glomerular visceral epithelial cell differentiation (GO:0072112)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.1023149244572037	0.5783457180868349	crb2b
negative regulation of developmental process (GO:0051093)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-0.9371988701080592	0.5776280900220477	ptch1
sodium ion transport (GO:0006814)	2/50	0.43464007179428144	0.6789935596174254	0.3787693056660661	0.6036812290806336	-0.6886344803144051	0.5737957364328724	scn4aa;slc12a3
regulation of morphogenesis of an epithelium (GO:1905330)	1/24	0.5115892617472437	0.7072875636806774	0.47228553155213854	0.6451757707810465	-0.8556366927786068	0.5734761178219159	tbx16
proteolysis involved in cellular protein catabolic process (GO:0051603)	3/80	0.4192500336777112	0.6681797411738521	0.3487856575318359	0.6036812290806336	-0.6575391370239546	0.5715907484897281	zranb1b;ctsba;ctsll
myelination (GO:0042552)	1/35	0.6484248059494782	0.7791282354209698	0.6018651150869202	0.7222381381043044	-1.3072999509480268	0.56633440863503	lama2
hematopoietic progenitor cell differentiation (GO:0002244)	3/82	0.4349109074673705	0.6789935596174254	0.36262324479051566	0.6036812290806336	-0.6722997990401492	0.5597662781845376	hal;ptger4a;tbx16
regulation of axon extension (GO:0030516)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-1.1025300729556966	0.5562870110498139	arl3l1
brain morphogenesis (GO:0048854)	1/28	0.566609712725819	0.7336357070272238	0.5236598816111979	0.6723353445022094	-0.9697043415457108	0.5508740541233489	shank2
cellular divalent inorganic cation homeostasis (GO:0072503)	2/51	0.444669522287196	0.6799508593324456	0.3877846370313872	0.6064502500763432	-0.6795303873279914	0.5507076797546675	atp2a1l;atp2b2
regulation of cell communication (GO:0010646)	2/54	0.4741474231857404	0.6931008510899835	0.4144733706736657	0.6111096107011297	-0.7378733406396376	0.5506283779637404	samsn1b;nlgn1
mesenchymal cell differentiation (GO:0048762)	1/21	0.4657951790258774	0.6841599589532088	0.4301658485114205	0.6160565505982589	-0.7183780938162229	0.5488475240933046	capzb
neuron migration (GO:0001764)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.0399655326782271	0.5456331937794588	prickle1a
cell-matrix adhesion (GO:0007160)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.0375262719403933	0.5443533998006935	itgb4
regulation of inflammatory response (GO:0050727)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-1.0672114189533082	0.5384668091784762	bcl6a
spermatogenesis (GO:0007283)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-1.0183772370415902	0.5343065773423371	dazap1
adrenergic receptor signaling pathway (GO:0071875)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-0.8972962181687751	0.5308035890714325	drd4a
liver development (GO:0001889)	5/133	0.35326721346340234	0.6471711000458088	0.26868150126899065	0.58694553693977	-0.5059888004597437	0.5264967945964251	prickle1a;fhl1b;dio3b;pck1;tbx16
MAPK cascade (GO:0000165)	1/35	0.6484248059494782	0.7791282354209698	0.6018651150869202	0.7222381381043044	-1.2030692358572943	0.5211807005287081	mapkapk2b
regulation of organelle organization (GO:0033043)	1/26	0.5399198376465015	0.7214649358944518	0.498627684216205	0.6605197894812067	-0.8232521913966234	0.5073988094629988	dmxl2
type B pancreatic cell differentiation (GO:0003309)	1/30	0.59175375207413	0.7503176027680266	0.5474470182365436	0.6865524081163211	-0.9660307367689152	0.5068422170058928	glis3
regulation of cellular catabolic process (GO:0031329)	1/27	0.5534638015436245	0.7279079796805835	0.5113033944598573	0.6638988912505643	-0.8563548469404333	0.506584355389761	rragd
regulation of transcription from RNA polymerase II promoter (GO:0006357)	26/778	0.27765767613433445	0.639121023225342	0.1123324115739788	0.58694553693977	-0.3942470034325491	0.5051748259966254	per2;per3;lpin1;myf6;runx2a;nfe2l1a;abrab;fgf1a;wisp3;vgll2b;ahrrb;ahrra;klf15;heyl;foxq2;arid5b;ankrd1b;foxq1a;foxo1a;per1a;hoxa13a;nr1d1;sp7;mef2ca;tnni3k;egr2b
negative regulation of BMP signaling pathway (GO:0030514)	1/32	0.6154413443884614	0.7593752071889887	0.5700507859672249	0.7005443393814089	-1.0268749749535957	0.49846116844263	wisp3
regulation of cell death (GO:0010941)	1/34	0.6377567176635811	0.7754445918081688	0.591529831600737	0.7154471481020772	-1.0983193117653614	0.49402225663868454	wisp3
fatty acid biosynthetic process (GO:0006633)	1/31	0.6037742225037733	0.75205527307797	0.5588930881988003	0.6923938663515503	-0.9726669983112072	0.4907639533013248	tecrl2b
convergent extension involved in axis elongation (GO:0060028)	1/32	0.6154413443884614	0.7593752071889887	0.5700507859672249	0.7005443393814089	-0.9928262148758678	0.481933367934945	tbx16
epithelial tube morphogenesis (GO:0060562)	2/38	0.30791394671008904	0.6412451541545819	0.2673897387388957	0.58694553693977	-0.4084126533594919	0.4810835297742856	mef2cb;tbx16
positive regulation of Ras protein signal transduction (GO:0046579)	1/34	0.6377567176635811	0.7754445918081688	0.591529831600737	0.7154471481020772	-1.0538100108591484	0.47400204481180275	abrab
Notch signaling pathway (GO:0007219)	2/56	0.4932657131528952	0.7005249346095768	0.43194209726338006	0.6166762757197246	-0.6513795842078792	0.46033469304367386	heyl;bhlhe41
nucleosome assembly (GO:0006334)	1/22	0.4815173090093138	0.6939291831562795	0.4445651610953995	0.6240226573173957	-0.6269653457055163	0.4581944880705754	zgc:113984
