Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
calcium ion homeostasis (GO:0055074)	1/51	0.5982539454628341	0.7269107079279596	0.46180442908443775	0.542170394665366	-1.19992060224386	0.6164471588504478	pth1a
cardiac muscle tissue development (GO:0048738)	1/49	0.5836082026979457	0.7207401847526542	0.44879240620626304	0.5352352707262029	-1.1426517638210678	0.615347006273475	cmlc1
cAMP-mediated signaling (GO:0019933)	1/48	0.5760868894613512	0.7134007507850159	0.4421699224177837	0.5312884023268453	-1.077698971976365	0.5943475127504245	rxfp2b
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	1/44	0.5446224162741001	0.6957346017225774	0.4148819044476007	0.5166022611854423	-0.9692133478798404	0.5889546434191256	ccne1
regulation of cell cycle process (GO:0010564)	1/48	0.5760868894613512	0.7134007507850159	0.4421699224177837	0.5312884023268453	-1.051498011088888	0.5798977671905997	ccne1
inner ear morphogenesis (GO:0042472)	1/50	0.5909964386767211	0.7239305969698588	0.45533693853074736	0.5387756445442351	-1.0869417728633453	0.5716719032481852	ttc9c
sarcomere organization (GO:0045214)	1/51	0.5982539454628341	0.7269107079279596	0.46180442908443775	0.542170394665366	-1.1059503779155342	0.5681708998251336	cmlc1
modification-dependent protein catabolic process (GO:0019941)	1/53	0.6123859578045326	0.7342134029911109	0.47451187096282155	0.5527818702968952	-1.153598817896612	0.5657162604925053	isg15
negative regulation of cellular process (GO:0048523)	2/87	0.4574095840223112	0.6481164011852184	0.28328654492978333	0.4327005310851824	-0.721592041689816	0.5644120088036528	cnot7;agr2
cellular divalent inorganic cation homeostasis (GO:0072503)	1/51	0.5982539454628341	0.7269107079279596	0.46180442908443775	0.542170394665366	-1.081190701830711	0.5554508648928183	mt2
regulation of protein phosphorylation (GO:0001932)	2/96	0.508960206290355	0.6786136083871399	0.3226143592788128	0.4503691487580021	-0.8084008183753076	0.5459821469935199	gdf11;bmp7a
regulation of cell proliferation (GO:0042127)	4/189	0.4306679842957508	0.6350735432012145	0.19420993520559368	0.3905853428686073	-0.637452358824181	0.5370012288981963	cnot7;tipin;ccne1;prl
second-messenger-mediated signaling (GO:0019932)	1/48	0.5760868894613512	0.7134007507850159	0.4421699224177837	0.5312884023268453	-0.9244541188413916	0.5098334697096809	efcab11
epithelial tube morphogenesis (GO:0060562)	1/38	0.49300688782312146	0.6671829739402722	0.3714498571270911	0.48107545966030135	-0.6855178531793464	0.4848202540574929	bmp7a
regulation of cytoskeleton organization (GO:0051493)	1/56	0.6326598709907542	0.7532211847958419	0.49301736318257455	0.57139448245775315	-1.0583213667302824	0.4845231538563521	cdc42l2
