Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of cell adhesion (GO:0045785)	1/12	0.19294358420157137	0.5626483874781306	0.143219388893372	0.3905853428686073	-1.380867010340604	2.272019812766196	agr2
hydrogen peroxide metabolic process (GO:0042743)	1/20	0.3004665444807676	0.56824635190505	0.2210418486479661	0.396471887257463	-1.8664374463477136	2.244239594053208	hbaa1
regulation of endopeptidase activity (GO:0052548)	2/42	0.17009396466892956	0.5626483874781306	0.09502003396183092	0.3905853428686073	-1.2548100807327287	2.2227759241146368	serpinh1b;serpinh1a
negative regulation of cellular amide metabolic process (GO:0034249)	1/20	0.3004665444807676	0.56824635190505	0.2210418486479661	0.396471887257463	-1.8330833443998689	2.2041339926777543	cnot7
mitochondrial fission (GO:0000266)	1/23	0.3369958524373208	0.5926930945590233	0.24838220148717835	0.41275277600075233	-2.019546832653443	2.196630101977136	mxa
neural crest cell differentiation (GO:0014033)	2/53	0.24123077466998977	0.563237971574533	0.13745907137566826	0.3905853428686073	-1.52230737863398	2.1647229685480833	rgs2;mych
RNA catabolic process (GO:0006401)	1/23	0.3369958524373208	0.5926930945590233	0.24838220148717835	0.41275277600075233	-1.9864471435325652	2.160628078001551	cnot7
mRNA 3'-end processing (GO:0031124)	1/22	0.3250358306125167	0.5784102182553447	0.23937614171179808	0.4052360151825195	-1.9083089790305887	2.1445955195192195	ssu72
determination of ventral identity (GO:0048264)	1/22	0.3250358306125167	0.5784102182553447	0.23937614171179808	0.4052360151825195	-1.9040421696641368	2.1398003944370205	bmp7a
monovalent inorganic cation homeostasis (GO:0055067)	1/21	0.3128606807727017	0.574849706135208	0.23026311056840632	0.39724780907221247	-1.8384009499493672	2.136216934431885	ca15a
regulation of programmed cell death (GO:0043067)	4/99	0.0989396525653684	0.5626483874781306	0.03346901373240084	0.3905853428686073	-0.9231736440752212	2.1355269868522124	gdf11;bmp7a;cidec;cideb
defense response to Gram-positive bacterium (GO:0050830)	1/17	0.2619305904269681	0.563237971574533	0.19271586283009415	0.3905853428686073	-1.591680822636729	2.1323361717389675	hsp90b1
heart process (GO:0003015)	3/73	0.1393031548091089	0.5626483874781306	0.06070305919162097	0.3905853428686073	-1.079752053369058	2.1283022426469196	acta2;cmlc1;tcap
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	1/20	0.3004665444807676	0.56824635190505	0.2210418486479661	0.396471887257463	-1.7404609115085763	2.0927630321352875	tipin
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	1/27	0.38275947951433387	0.6156842873326651	0.2833614097371991	0.4327005310851824	-2.125011236519548	2.04075130650029	chek1
chemical homeostasis (GO:0048878)	1/27	0.38275947951433387	0.6156842873326651	0.2833614097371991	0.4327005310851824	-2.004905388797759	1.925407838454439	prl
plasma membrane organization (GO:0007009)	1/24	0.3487445368103896	0.5948397382577211	0.2572825347512822	0.4168161494895324	-1.826038200933874	1.9235771471991896	tcap
cellular response to heat (GO:0034605)	1/21	0.3128606807727017	0.574849706135208	0.23026311056840632	0.39724780907221247	-1.6467474355861005	1.913516068803268	hspa5
blood circulation (GO:0008015)	3/84	0.18640701092470344	0.5626483874781306	0.08354289072146481	0.3905853428686073	-1.1371816917393862	1.9102636939308368	acta2;cmlc1;tcap
negative regulation of endopeptidase activity (GO:0010951)	2/39	0.15135418046583715	0.5626483874781306	0.08423311602188671	0.3905853428686073	-1.0066025415593582	1.900599096825305	serpinh1b;serpinh1a
