Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response To Unfolded Protein (GO:0006986)	6/44	4.050195221472006e-7	4.2284038112167736e-4	0	0	25.049684210526316	368.71458252298027	DNAJA1;HSP90AA1;HSPA4;SERPINH1;HSPB1;HSPA2
Platelet Aggregation (GO:0070527)	4/35	7.863276432528931e-5	0.02462996565073094	0	0	20.15544831089662	190.4835407159334	FIBP;HSPB1;GATA1;MYL9
Response To Endoplasmic Reticulum Stress (GO:0034976)	6/114	1.0526823187646068e-4	0.02462996565073094	0	0	8.782666666666668	80.44043412761496	HSPA5;DNAJB9;HYOU1;PDIA6;PDIA4;HSP90B1
Positive Regulation Of Bone Mineralization (GO:0030501)	4/38	1.0918180606895216e-4	0.02462996565073094	0	0	18.37424733672997	167.61900003034583	PTH;ALOX5;ISG15;BMP7
Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	3/15	1.1795960560694896e-4	0.02462996565073094	0	0	38.783203125	350.8006001562594	CNOT7;ISG15;TTLL12
Positive Regulation Of Ossification (GO:0045778)	4/41	1.4753384571315203e-4	0.02567088915408845	0	0	16.881889763779526	148.92279619149707	PTH;ALOX5;ISG15;BMP7
Positive Regulation Of Biomineral Tissue Development (GO:0070169)	4/43	1.77978120582019e-4	0.02654416541251826	0	0	16.014536644457905	138.26710613967586	PTH;ALOX5;ISG15;BMP7
Homotypic Cell-Cell Adhesion (GO:0034109)	4/46	2.317968640714278e-4	0.03024949076132133	0	0	14.868391451068616	124.44321995574072	FIBP;HSPB1;GATA1;MYL9
Negative Regulation Of MAP Kinase Activity (GO:0043407)	4/51	3.461146026710966e-4	0.0401492939098472	0	0	13.283297034679176	105.8511485967065	DNAJA1;RGS2;NPPA;BMP7
Positive Regulation Of Receptor Binding (GO:1900122)	2/5	4.2029234600381274e-4	0.04387852092279805	0	0	102.66666666666669	798.1881627629406	B2M;MMP9
Regulation Of Bone Mineralization (GO:0030500)	4/58	5.672176354997896e-4	0.05041180670847218	0	0	11.557305336832895	86.3881702155822	PTH;ALOX5;ISG15;BMP7
Negative Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001960)	4/59	6.054082640518496e-4	0.05041180670847218	0	0	11.346599856836075	84.07385152244797	CNOT7;APOA1;ISG15;TTLL12
Positive Regulation Of Striated Muscle Contraction (GO:0045989)	2/6	6.277332252970674e-4	0.05041180670847218	0	0	76.99612403100775	567.7228576803623	RGS2;NPPA
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	4/61	6.872050899714256e-4	0.0512458652807263	0	0	10.947368421052632	79.72834622857452	DNAJA1;HSPB1;HYOU1;MMP9
Negative Regulation Of Muscle Hypertrophy (GO:0014741)	2/7	8.75056732408768e-4	0.05709745178967211	0	0	61.5937984496124	433.6955986468554	RGS2;P2RX4
Regulation Of Triglyceride Metabolic Process (GO:0090207)	2/7	8.75056732408768e-4	0.05709745178967211	0	0	61.5937984496124	433.6955986468554	CIDEB;CIDEC
