Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
response to unfolded protein (GO:0006986)	7/49	3.006824507992938e-8	3.800626178103074e-5	0	0	26.649193548387096	461.5586012272689	DNAJA1;HSP90AA1;HSPA5;HSPA4;SERPINH1;HSPB1;HSPA2
IRE1-mediated unfolded protein response (GO:0036498)	5/53	2.4901416888020393e-5	0.01573769547322889	0	0	16.38640873015873	173.70553256605524	HSPA5;DNAJB11;DNAJB9;HYOU1;PDIA6
response to endoplasmic reticulum stress (GO:0034976)	6/110	8.636429833802888e-5	0.01997568697200883	0	0	9.122307692307691	85.35685090247375	HSPA5;AGR2;DNAJB9;HYOU1;PDIA4;HSP90B1
platelet aggregation (GO:0070527)	4/36	8.801491337730908e-5	0.01997568697200883	0	0	19.5246062992126	182.320857336683	FIBP;HSPB1;GATA1;MYL9
positive regulation of bone mineralization (GO:0030501)	4/36	8.801491337730908e-5	0.01997568697200883	0	0	19.5246062992126	182.320857336683	PTH;ALOX5;ISG15;BMP7
regulation of IRE1-mediated unfolded protein response (GO:1903894)	3/14	9.482129891776345e-5	0.01997568697200883	0	0	42.31107954545455	391.94938357871354	HSPA5;AGR2;DNAJB9
positive regulation of ossification (GO:0045778)	4/40	1.3381580441233142e-4	0.02072030899793602	0	0	17.35170603674541	154.76066948359357	PTH;ALOX5;ISG15;BMP7
negative regulation of type I interferon-mediated signaling pathway (GO:0060339)	3/16	1.4448669755253173e-4	0.02072030899793602	0	0	35.79807692307692	316.53816298179186	CNOT7;ISG15;TTLL12
positive regulation of biomineral tissue development (GO:0070169)	4/41	1.4753384571315203e-4	0.02072030899793602	0	0	16.881889763779526	148.92279619149707	PTH;ALOX5;ISG15;BMP7
homotypic cell-cell adhesion (GO:0034109)	4/44	1.9478817727970117e-4	0.02462122560815423	0	0	15.613385826771651	133.3944897397756	FIBP;HSPB1;GATA1;MYL9
negative regulation of MAP kinase activity (GO:0043407)	4/48	2.736118259867205e-4	0.03144048618611042	0	0	14.191123836793128	116.42114385405968	DNAJA1;RGS2;NPPA;BMP7
