stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000377779	9606.ENSP00000400365	SV2B	LAMA2	9606	0.658	0	0	0	0.042	0	0.65	0.064
9606.ENSP00000378635	9606.ENSP00000400365	DRP2	LAMA2	9606	0.562	0	0	0	0.074	0	0.5	0.13
9606.ENSP00000379011	9606.ENSP00000389814	CPT1B	ADIPOQ	9606	0.46	0	0	0	0	0	0	0.46
9606.ENSP00000379042	9606.ENSP00000404854	ERO1A	NDRG1	9606	0.427	0	0	0	0.204	0	0	0.309
9606.ENSP00000380837	9606.ENSP00000491537	LSS	FDFT1	9606	0.989	0.115	0	0.394	0.446	0	0	0.967
9606.ENSP00000381098	9606.ENSP00000392500	GRIP1	NLGN1	9606	0.422	0	0	0	0	0.091	0	0.391
9606.ENSP00000386444	9606.ENSP00000462521	SAG	TXNIP	9606	0.606	0	0	0	0	0	0	0.606
9606.ENSP00000386845	9606.ENSP00000460236	ZNF385B	SPON1	9606	0.405	0	0	0	0.066	0	0	0.389
9606.ENSP00000389814	9606.ENSP00000443827	ADIPOQ	SP7	9606	0.437	0	0	0	0.055	0	0	0.429
9606.ENSP00000391137	9606.ENSP00000397655	ASB10	ASB15	9606	0.462	0	0	0.224	0.174	0	0	0.228
9606.ENSP00000392411	9606.ENSP00000478639	SLC13A2	SLC1A7	9606	0.488	0	0	0	0.08	0	0.208	0.353
9606.ENSP00000392500	9606.ENSP00000494788	NLGN1	CASK	9606	0.808	0	0	0	0.059	0.093	0.5	0.604
9606.ENSP00000393333	9606.ENSP00000421710	TBXA2R	GNGT2	9606	0.555	0	0	0	0.044	0.12	0.5	0.067
9606.ENSP00000397655	9606.ENSP00000480740	ASB15	LRRC39	9606	0.452	0	0	0	0.118	0.093	0	0.37
9606.ENSP00000400908	9606.ENSP00000430075	MYBPC1	AMPD1	9606	0.451	0	0	0	0.31	0.071	0	0.211
9606.ENSP00000400908	9606.ENSP00000498684	MYBPC1	FHL1	9606	0.536	0	0	0	0.061	0.294	0	0.355
9606.ENSP00000401010	9606.ENSP00000494788	CAPZB	CASK	9606	0.541	0	0	0	0.054	0.093	0.5	0.057
9606.ENSP00000420927	9606.ENSP00000496597	PDK2	PFKM	9606	0.55	0.043	0	0	0.127	0.091	0	0.477
9606.ENSP00000421710	9606.ENSP00000501053	GNGT2	ADCY7	9606	0.701	0	0	0	0.07	0	0.65	0.156
9606.ENSP00000430075	9606.ENSP00000496597	AMPD1	PFKM	9606	0.404	0	0	0	0.113	0	0	0.355
9606.ENSP00000438264	9606.ENSP00000485478	LRIT2	CDHR1	9606	0.629	0	0	0	0.276	0	0	0.509
9606.ENSP00000462521	9606.ENSP00000492001	TXNIP	PFKFB3	9606	0.486	0	0	0	0.056	0.292	0	0.293
9606.ENSP00000469759	9606.ENSP00000497110	LRIT3	GRM6	9606	0.723	0	0	0	0	0	0	0.723
9606.ENSP00000492001	9606.ENSP00000496597	PFKFB3	PFKM	9606	0.996	0	0	0	0.055	0.066	0.925	0.956
