Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response to Unfolded Protein (GO:0006986)	6/45	4.64833553792103e-7	5.247970822312842e-4	0	0	24.406153846153845	355.8804420798991	DNAJA1;HSP90AA1;HSPA4;SERPINH1;HSPB1;HSPA2
Response to Endoplasmic Reticulum Stress (GO:0034976)	7/132	2.6308239198669304e-5	0.01485100102764882	0	0	8.916645161290322	94.0316263593641	HSPA5;AGR2;DNAJB9;HYOU1;PDIA6;PDIA4;HSP90B1
Platelet Aggregation (GO:0070527)	4/36	8.801491337730908e-5	0.03141655030696894	0	0	19.5246062992126	182.320857336683	FIBP;HSPB1;GATA1;MYL9
Positive Regulation of Bone Mineralization (GO:0030501)	4/39	1.2104537066864816e-4	0.03141655030696894	0	0	17.848368953880765	160.9805993963958	PTH;ALOX5;ISG15;BMP7
Regulation of IRE1-mediated Unfolded Protein Response (GO:1903894)	3/16	1.4448669755253173e-4	0.03141655030696894	0	0	35.79807692307692	316.53816298179186	HSPA5;AGR2;DNAJB9
Positive Regulation of Ossification (GO:0045778)	4/43	1.77978120582019e-4	0.03141655030696894	0	0	16.014536644457905	138.26710613967586	PTH;ALOX5;ISG15;BMP7
Positive Regulation of Biomineral Tissue Development (GO:0070169)	4/44	1.9478817727970117e-4	0.03141655030696894	0	0	15.613385826771651	133.3944897397756	PTH;ALOX5;ISG15;BMP7
Negative Regulation of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	3/19	2.4644535409464784e-4	0.03162225710229616	0	0	29.08154296875	241.6202271905208	CNOT7;ISG15;TTLL12
Homotypic Cell-Cell Adhesion (GO:0034109)	4/47	2.520817660944778e-4	0.03162225710229616	0	0	14.521882439113716	120.3247898638168	FIBP;HSPB1;GATA1;MYL9
Positive Regulation of Cardiac Muscle Contraction (GO:0060452)	2/5	4.2029234600381274e-4	0.04313727805802769	0	0	102.66666666666669	798.1881627629406	RGS2;NPPA
Lipid Droplet Fusion (GO:0160077)	2/5	4.2029234600381274e-4	0.04313727805802769	0	0	102.66666666666669	798.1881627629406	CIDEB;CIDEC
Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058)	4/59	6.054082640518496e-4	0.05451621625849146	0	0	11.346599856836075	84.07385152244797	PLAU;NPPA;AGR2;MMP9
Negative Regulation of IRE1-mediated Unfolded Protein Response (GO:1903895)	2/6	6.277332252970674e-4	0.05451621625849146	0	0	76.99612403100775	567.7228576803623	HSPA5;DNAJB9
Regulation of Bone Mineralization (GO:0030500)	4/61	6.872050899714256e-4	0.05488550282719439	0	0	10.947368421052632	79.72834622857452	PTH;ALOX5;ISG15;BMP7
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	4/62	7.309044189484841e-4	0.05488550282719439	0	0	10.758077654086344	77.6865300821432	DNAJA1;HSPB1;HYOU1;MMP9
Positive Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742)	3/28	7.980728929994466e-4	0.05488550282719439	0	0	18.60375	132.70632744822578	PLAU;AGR2;MMP9
Negative Regulation of JUN Kinase Activity (GO:0043508)	2/7	8.75056732408768e-4	0.05488550282719439	0	0	61.5937984496124	433.6955986468554	DNAJA1;NPPA
Positive Regulation of Striated Muscle Contraction (GO:0045989)	2/7	8.75056732408768e-4	0.05488550282719439	0	0	61.5937984496124	433.6955986468554	RGS2;NPPA
Positive Regulation of ERBB Signaling Pathway (GO:1901186)	3/30	9.7966142379343e-4	0.05821251302435697	0	0	17.223958333333332	119.33281135445452	PLAU;AGR2;MMP9
Negative Regulation of Mitotic Nuclear Division (GO:0045839)	2/8	0.00116173954765705	0.06245733091927705	0	0	51.325581395348834	346.8499020731412	CHEK1;BMP7
Regulation of Triglyceride Metabolic Process (GO:0090207)	2/8	0.00116173954765705	0.06245733091927705	0	0	51.325581395348834	346.8499020731412	CIDEB;CIDEC
Nucleoside Phosphate Metabolic Process (GO:0006753)	3/34	0.00141661346428507	0.06448052573411875	0	0	14.998487903225806	98.3823735227885	ACSL6;NUDT5;DCK
Bone Resorption (GO:0045453)	2/9	0.00148726339478075	0.06448052573411875	0	0	43.991140642303435	286.41828814216444	PTH;ACP5
Negative Regulation of Muscle Hypertrophy (GO:0014741)	2/9	0.00148726339478075	0.06448052573411875	0	0	43.991140642303435	286.41828814216444	RGS2;P2RX4
Regulation of Response to Wounding (GO:1903034)	2/9	0.00148726339478075	0.06448052573411875	0	0	43.991140642303435	286.41828814216444	PLAU;ALOX5
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	4/75	0.0014916213786048	0.06448052573411875	0	0	8.782521903071975	57.155700318664856	ALOX5;CXCR3;PRL;B2M
Negative Regulation of JNK Cascade (GO:0046329)	3/35	0.00154204977397803	0.06448052573411875	0	0	14.529052734375	94.07042559528222	DNAJA1;RGS2;NPPA
Negative Regulation of Cytokine-Mediated Signaling Pathway (GO:0001960)	4/78	0.00172433140030054	0.06952750539068964	0	0	8.4251968503937	53.60881898029739	CNOT7;APOA1;ISG15;TTLL12
Negative Regulation of Nuclear Division (GO:0051784)	2/10	0.00185111499983356	0.07206582189007231	0	0	38.49031007751938	242.1797654013784	CHEK1;BMP7
Regulation of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	3/38	0.00195936723651817	0.07373752033430081	0	0	13.28169642857143	82.81315294680145	CNOT7;ISG15;TTLL12
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	3/39	0.00211256142278574	0.07693812407500332	0	0	12.912109375	79.53671017384555	ALOX5;CXCR3;PRL
Regulation of Cellular Response to Oxidative Stress (GO:1900407)	2/11	0.00225278605258302	0.07948110791769489	0	0	34.21188630490956	208.54154935693353	ALOX5;BMP7
Regulation of Cardiac Muscle Contraction (GO:0055117)	3/42	0.00261607642377464	0.08950152371035089	0	0	11.917067307692308	70.85983118944941	RGS2;P2RX4;NPPA
Substantia Nigra Development (GO:0021762)	3/44	0.00298948265509183	0.0966539287845148	0	0	11.334603658536585	65.88413985355811	HSPA5;PLP1;DYNLL1
Regulation of JUN Kinase Activity (GO:0043506)	2/13	0.00316757782553325	0.0966539287845148	0	0	27.98872445384073	161.06917775087956	DNAJA1;NPPA
Regulation of PERK-mediated Unfolded Protein Response (GO:1903897)	2/13	0.00316757782553325	0.0966539287845148	0	0	27.98872445384073	161.06917775087956	HSPA5;AGR2
Relaxation of Cardiac Muscle (GO:0055119)	2/13	0.00316757782553325	0.0966539287845148	0	0	27.98872445384073	161.06917775087956	RGS2;P2RX4
Positive Regulation of Chemotaxis (GO:0050921)	3/47	0.00360828599305537	0.10606754111541077	0	0	10.560191761363637	59.39603525323152	P2RX4;CXCR3;HSPB1
Negative Regulation of DNA-templated DNA Replication (GO:2000104)	2/14	0.00367970636984923	0.10606754111541077	0	0	25.655038759689923	143.79449938483123	TIPIN;DYNLL1
Pyrimidine Deoxyribonucleotide Catabolic Process (GO:0009223)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	DCTPP1;UNG
Negative Regulation of Cardiac Muscle Hypertrophy (GO:0010614)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	RGS2;P2RX4
Cellular Response to ATP (GO:0071318)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	P2RX4;HSP90B1
Nucleotide Metabolic Process (GO:0009117)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	NUDT5;DCK
Positive Regulation of Endothelial Cell Chemotaxis (GO:2001028)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	P2RX4;HSPB1
Response to Muscle Stretch (GO:0035994)	2/15	0.0042276699293122	0.10606754111541077	0	0	23.68038163387001	129.43943544423092	NPPA;TCAP
Relaxation of Muscle (GO:0090075)	2/16	0.00481098439267532	0.11807829085500968	0	0	21.98781838316722	117.34576682279196	RGS2;P2RX4
Cardiac Muscle Tissue Development (GO:0048738)	3/53	0.00506656047509123	0.12170525056123405	0	0	9.29015625	49.09934068440332	NPPA;TCAP;BMP7
Negative Regulation of Innate Immune Response (GO:0045824)	3/55	0.00562054213212859	0.12950187892190168	0	0	8.93194110576923	46.27930899762371	CNOT7;ISG15;TTLL12
Endoplasmic Reticulum Unfolded Protein Response (GO:0030968)	3/55	0.00562054213212859	0.12950187892190168	0	0	8.93194110576923	46.27930899762371	HSPA5;AGR2;MANF
Regulation of Endothelial Cell Chemotaxis (GO:2001026)	2/18	0.00608175314787587	0.13463331968533063	0	0	19.237403100775193	98.15812364603616	P2RX4;HSPB1
Regulation of Response to Endoplasmic Reticulum Stress (GO:1905897)	2/18	0.00608175314787587	0.13463331968533063	0	0	19.237403100775193	98.15812364603616	ALOX5;MANF
