gene_id	WT_48hpf_R1	WT_48hpf_R2	WT_48hpf_R3	MT_48hpf_R1	MT_48hpf_R2	MT_48hpf_R3
LOC100000024	21.591	15.945	34.032	22.465	109.794	13.378
LOC100000034	0	3.339	0	0	4	0
LOC100000576	628	513	399	173	547	313
LOC100000851	5	1.912	2.664	1	2.234	3
LOC100001344	91	75	61	32	69	58
LOC100001444	0	0	0	0	0	0
LOC100001550	61	30	32	37	47	46
LOC100001804	0	0	0	0	0	0
LOC100002237	0	0	3.663	0	3.362	4.445
LOC100002333	90.229	60.909	61.729	51.45	68.734	62
LOC100002960	34	9	19	3	6	8
LOC100003140	0	0	0	0	0	0
LOC100003286	0	0	0	1	0	0
LOC100003308	21.179	13.111	4.103	2.124	2.8	8.902
LOC100003647	8	12	12	2	7	1
LOC100005807	0	0	1	0	0	0
LOC100006053	5	4	2	13	28	7.588
LOC100006122	17.396	16.277	25.224	6.002	2.26	0
LOC100006564	80.022	48.308	49.947	23.4	38.2	38.583
LOC100006761	1	0	1	0	2	6
LOC100006793	13.42	0	0	64.605	38.011	46.824
LOC100006889	0	0	0	0	0	0
LOC100007315	658.368	474.088	407.251	382.437	528.569	356.209
LOC100007703	6.515	5.407	4.44	0	10.101	1.496
LOC100008037	1	1	0	3	8	4
LOC100141478	3.66	11	0	3.593	3.413	11
LOC100141479	10.34	0	6	12.407	21.587	0
LOC100148329	1954.56	2280.16	1416.19	1767.013	2370.457	2701.895
LOC100149066	2039.765	2438.698	1384.773	1198.89	1379.747	1407.161
LOC100149164	55	44	31	14	29	24
LOC100149189	806.172	821.794	606.911	525.176	685.213	577.039
LOC100149258	273.639	343.079	245.468	102.552	238.043	124.414
LOC100149406	9	7	7	2	4	5
LOC100149443	1	1	0	0	0	0
LOC100149563	0	0	0	0	0	0
LOC100149618	24	24	17	17	22	26
LOC100149863	792.976	868	537.658	705.37	836.216	649.584
LOC100150082	0	8.174	0	0	0	0
LOC100151049	117	89	68	40	78	62
LOC100151273	150	109	109	134	141	169
LOC100151367	1	2	5	0	1	3
LOC100189617	239.018	253.137	189	129.725	317.576	281.574
LOC100216314	0	0	0	0	0	0
LOC100301575	0	2	2.571	3.63	1.381	5.501
LOC100329294	4	7	2	1	6	4
LOC100330584	0	0	0	0	1	0
LOC100331176	3	8	10	0	1	0
LOC100331190	743	784	624	282	317	393
LOC100331689	0	1	0	0	0	0
LOC100332913	164	134	141	69	77	59
LOC100333064	4590	3990	3228	1911	3808	2646
LOC100334155	0	0	0	0	0	0
LOC100499487	0	0	0	0	0	0
LOC100500728	126	123	82	68	110	96
LOC100534660	431	386	299	147	329	206
LOC100535473	1	0	3.001	0	4.014	2.001
LOC100535586	577	533	382	156	229	209
LOC100536659	235	230.616	154.896	91.942	258	196.889
LOC100537295	6998	5912	4338	2180	2874	2089
LOC100537897	109	79	113	22	50	38
LOC101882557	151	105	107	25	28	53
LOC101886520	12.22	7.844	2.731	7.638	16.106	3.794
LOC101886726	441	385	328	122	241	168
LOC101887004	28.453	15	28	23	38	29
LOC101887113	1351	1163	877	357	765	622
LOC405768	439	442	289	87	154	128
LOC553228	48	71	43	24	60	37
LOC553308	0	0	0	0	0	0
LOC553446	54	29	39	28	21	31
LOC553495	382	358	254	223	347	287
LOC554386	1181	1013	851	609	1077	886
LOC554736	177.55	167.488	143.905	138.159	223.288	214.84
LOC554962	193.489	202.556	151.184	82.085	207.896	125.539
LOC556124	2584	2224	1696	1825	2775	2417
LOC556326	237.076	212.879	176.987	91.913	183.376	143.968
LOC556451	9	8	7	1	12	4
LOC556480	216	184	182	123	220	196
LOC556846	862	820	629	655	1143	759
LOC557028	1456	1308	997	486	794	611
LOC557756	1	2	1	0	3	1
LOC558044	11472	11295	8402	5462	6507	6755
LOC558818	168	176	113	33	55	49
LOC559008	312	282	223	96	204	155
LOC559147	101	123	83	67	102	96
LOC560084	79	82	68	28	54	52
LOC560232	71.426	63.632	56.357	13.342	24.175	26.18
LOC561143	1369.99	1486.278	935.299	936.396	1340.228	1029.981
LOC562139	2	0	6	0	3	4
LOC563738	781.136	860.959	598.136	288.954	583.573	279.437
LOC564060	1.053	3.345	0	0	0	0
LOC564145	0	0	0	0	0	0
LOC564685	115	88	80	46	82	68
LOC564840	2033.063	1851.86	1531.752	615.642	924.393	780.515
LOC564868	208.738	179.995	183.408	108.786	164.932	171.409
LOC565175	152	128	89	80	132	96
LOC565231	88.321	90.781	75.127	65.248	77.505	35.062
LOC565422	262	200	161	162	262	217
LOC566050	2.029	4.089	2	6.239	5.146	9.157
LOC566052	888.621	808.217	642.492	676.232	1397.543	915.574
LOC566907	44	32	23	12	29	8
LOC567180	392	371	271	214	330	264
LOC567304	37	32	28	17	24	5
LOC567470	22	22	16	10	22	10
LOC567472	0	7	1	0	0	0
LOC567622	638	661	532	317	261	391
LOC569077	17.011	13.006	5	8.01	20.089	10.021
LOC569213	75	57	46	25	24	22
LOC569335	1967	1652	1265	1304	2371	1674
LOC570474	6	5	7	8	13	13
LOC571123	162	135	117	86	150	106
LOC571912	238	209	186	85	218	133
LOC572950	263.931	206.041	152.416	93.341	175.249	149.221
LOC573060	0	0	0	0	0	0
LOC791704	28	30	4.794	10.521	12	28.544
LOC791723	0	0	0	0	0	2
LOC791840	167.707	173.692	173.924	101.432	71.334	177.432
LOC792137	1593.284	1370.886	1044.922	1048.131	1881.894	1150.309
LOC792189	24.158	21.416	7.194	10.306	10.786	25.986
LOC792371	487	468	345	141	178	186
LOC792465	48	58	41	30	45	40
LOC792509	884.152	851.759	615.82	489.628	821.793	515.556
LOC793213	12	7	3	1	1	1
LOC793439	1562.484	1543.182	1205.519	699.745	1090.66	947.199
LOC794400	169	162	159	56	99	83
LOC794484	0	0	43.958	51	80.996	101
LOC794656	87.494	92.642	70.016	29.626	60.936	71.142
LOC794757	59	53	34	28	100	33
LOC795524	0	0	2	0	0	0
LOC795545	11336	9917	7318	4226	9488	3351
LOC795615	10	2	2	82	5	37
LOC796180	1027	1000	742	552	528	699
LOC796447	2893.731	2312.955	1926.275	1187.928	1741.793	1133.854
LOC796572	409	361	291	229	430	360
LOC797092	3	8	5	8	4	2
LOC797125	50.153	52.091	36.268	15.855	82	85
LOC797202	535	420	340	253	523	352
LOC797799	67.638	33.494	31.669	13.591	2.757	112.282
LOC798119	1	0	0	0	0	1
LOC798231	26	12	15	5	10	11
LOC798290	5.25	7.348	1.001	20.814	45	61.83
LOC799523	1	1	1	0	3	2
LOC799537	82.992	34.167	23.556	0	0	3.229
MGC172218	0	0	0	0	0	2
MGC173646	31809.298	38093.181	28706.669	14458.322	16751.826	6569.182
MGC174152	102.537	170.424	168.364	737.851	355.26	702.816
MGC174155	186.049	338.269	282.542	1470.548	977.86	1278.055
MGC174857	29.96	63.961	47.883	362.066	168.276	378.486
a2ml	16578	15737	10761	9614	16994	14506
aacs	659	738	463	408	587	542
aadacl4	8	1	3	3	0	4
aagab	909	865	669	600	1134	789
aamdc	227	182	139	117	164	196
aamp	2229	2064	1847	1316	1658	1683
aanat1	35	25	25	29	42	26
aanat2	242	216	202	59	137	89
aar2	540	494	381	271	359	391
aars	11582	11088	8327	7349	11901	10845
aarsd1	600	545	422	293	479	391
aasdhppt	98	66	82	80	106	96
aass	1044	1017	754	456	792	610
aatf	1048	881	691	616	1024	692
abat	2795	2678	2086	836	1674	1300
abca1a	8463	8530	6561	2115	2429	2666
abca1b	9639	10266	7491	7255	9210	8742
abca4a	65	55	54	24	28	17
abca5	1652	1490	1172	601	947	893
abcb3l1	4	3	2	2	4	2
abcb4	192	152	133	57	115	76
abcb6a	511	516	366	186	313	112
abcb8	869	731	600	330	641	482
abcb9	262	254	182	66	160	133
abcc2	1458	1426	1090	1010	1225	872
abcc4	2322	2005	1650	584	1332	1054
abcc5	8067	7004	6079	2017	3017	3222
abcc8	946	836	654	350	608	531
abcc9	1744	1556	1209	453	687	700
abcd1	188	200	177	71	104	80
abcd3a	2619	2320	1899	1131	2306	1562
abcd3b	561	470	343	242	490	360
abcd4	421	362	305	220	418	318
abce1	9098	8140	6352	5570	9526	7860
abcf1	8596	7265	6149	5074	9981	6370
abcf2a	3755	2907	2341	4051	7435	4584
abcg1	171	146	149	45	79	81
abcg2a	535	449	403	185	294	384
abcg2b	24	11	12	1	2	10
abcg2c	760	723	610	548	692	688
abcg2d	90	90	52	62	47	81
abcg4b	151	115	81	35	64	50
abcg5	5	8	10	6	21	5
abcg8	19	11	15	16	12	6
abhd11	518	435	338	119	309	208
abhd12	766	697	549	313	592	459
abhd13	230	208	185	105	202	156
abhd14a	259	218	190	93	158	132
abhd14b	532	449	345	326	580	481
abhd16a	2554	2382	1905	977	1721	1425
abhd17aa	797	742	695	361	619	560
abhd17b	351	341	247	166	295	278
abhd17c	2750	2410	1995	1413	2433	1688
abhd2a	48	53	40	50	49	36
abhd2b	152	140	101	65	123	122
abhd3	146	101	98	43	72	65
abhd4	846	738	580	202	524	249
abhd6b	27	32	18	15	27	24
abi1a	951	889	751	415	619	598
abi1b	509	450	387	299	253	344
abi2a	437	390	342	148	271	250
abi2b	1575	1438	1133	626	619	694
abi3a	305	229	224	63	109	116
abi3bpb	6356	5601	4094	1858	3963	2951
abl2	992	972	780	426	442	491
ablim1a	1424	1329	1025	651	896	940
ablim1b	436	381	339	128	207	187
ablim3	645	615	514	239	432	302
abo	25	15	15	2	7	4
abrab	948	996	799	168	255	200
abracl	3588	3215	2439	2154	4564	2586
abt1	451	392	281	278	546	373
acaa1	899	791	584	502	845	624
acaa2	4295	3493	2786	1374	2925	1848
acaca	3908	3377	2877	1004	1479	1439
acad11	567	479	365	367	512	399
acad8	1180	1058	807	544	1196	841
acad9	1018	866	664	405	874	487
acadl	2515	1990	1743	741	1631	1056
acadm	5776	4728	3625	1566	4020	2337
acads	1121	931	783	403	763	592
acadsb	828	738	704	292	421	364
acadvl	7118	6255	5249	2372	4697	3652
acap1	405	390	283	148	258	224
acap2	242	226	189	105	140	162
acap3b	523	541	439	214	391	337
acat1	4031	3581	2692	1211	2359	1744
acat2	2019	1740	1361	883	1659	1111
acbd3	273	197	199	164	235	205
acbd4	59	37	40	20	37	43
acbd5a	870	691	614	314	542	479
acbd5b	20	18	19	6	10	7
acbd6	1678	1538	1220	769	1380	1134
acbd7	1284	1074	845	431	936	671
accs	600	543	419	370	497	449
acd	276	234	213	141	183	180
ace2	3	1.877	0	3	7	2
acer1	432	443	326	224	303	276
acer3	320	320	275	91	151	120
ache	6793	5949	4786	1607	3922	2311
acin1b	7467	6869	5350	2865	4249	3752
ackr3b	4294	4084	3029	2395	4025	3128
aclya	8991	7969	6724	3389	5519	4141
acmsd	187	164	114	73	146	66
aco1	1296	1249	980	667	1185	773
aco2	27588	23860	18876	9249	17461	12907
acot11a	239	251	189	100	136	128
acot11b	131	94	82	27	53	50
acot13	185	142	122	76	158	128
acot7	281	244	189	61	123	104
acot8	203	176	139	56	137	92
acot9.1	706.619	667.884	498.631	379	704.365	532
acot9.2	296.381	283.116	225.369	45	147.635	82
acox1	1213	1188	793	690	1342	917
acox3	511	486	357	172	351	254
acp1	1084	965	713	930	1159	1425
acp2	1245	1134	836	623	962	865
acp5a	1310	1669	1083	2233	1829	3564
acp5b	101	93	58	14	42	21
acp6	378	255	235	97	283	146
acrc	450	431	309	238	279	259
acsbg2	7776	7273	5386	3856	4498	4853
acsf2	3499	3060	2340	2005	3016	2959
acsl1a	1998	1762	1376	874	1742	1547
acsl1b	2383	2183	1759	815	1170	1206
acsl3a	412	402	341	117	210	199
acsl3b	6853	6169	4954	3259	5147	4270
acsl4a	5035	4906	3759	3056	4872	4467
acsl4b	795	793	517	344	696	479
acsl5	701	678	547	634	864	676
acsm3	302	278	200	141	235	219
acss1	894	958	699	453	756	620
acss2	2149	1819	1486	1439	2110	1976
acss2l	174	138	103	48	69	53
acta1a	46434.156	41750.167	32290	31801	66101	49025.205
acta1b	231506.667	194739.381	166302.572	113153.218	282833.674	178226.069
acta2	700.006	539.002	416	1191	1933.008	1560.008
actb1	225733.734	206431.123	159233	182553	323268.193	255176.447
actb2	269390.26	264160.145	200488.16	256003	337729.517	334001.544
actc1a	38739	35414.028	28077	35054	76013.277	42092
actc1b	718687.166	676114.146	545158.244	321498.766	579288.324	382386.727
actl6a	5612	5115	3900	3153	5274	4053
actl6b	19	20	24	20	26	22
actn1	5421	5360	4041	4479	7163	6029
actn2b	1220	949	799	556	1046	865
actn3a	80619	69078	54929	22046	51391	31950
actn3b	47704	42761	34682	12216	24156	16146
actn4	10665	10060	7816	4916	7518	6527
actr1	7906	6819	5686	3877	6861	5444
actr10	4001	3613	2864	1791	2542	2272
actr2a	2902	2661	2218	1276	2500	1955
actr2b	759	720	555	345	569	482
actr3	4546	4130	3526	2666	4234	3257
actr3b	48	44	20	25	25	22
actr5	290	235	209	180	232	263
actr6	960	841	667	477	1009	723
actr8	708	671	555	416	732	490
acvr1ba	2861	2784	2129	1374	1903	1714
acvr1l	4417	4142	3341	1932	3132	2576
acvr2aa	2852	2750	2149	1030	1785	1596
acvr2b	1169	1493	1128	855	740	834
acvrl1	1511	1374	1083	543	1071	727
acy1	1119	1088	804	350	691	725
acy3.1	76.243	82.719	56	44.092	81.234	59
acy3.2	450.757	409.281	331	352.908	500.766	448
acyp1	208	177	142	82	152	143
ada	1573	1327	1040	603	1099	728
adad1	18	20	11	18	25	17
adal	259	189	164	102	256	150
adam10a	5968	5360	4263	3083	5556	4461
adam10b	1595	1615	1326	847	566	915
adam17a	3105	2704	2144	1921	3098	2502
adam28	141	128	89	64	106	67
adam8a	522	513	385	263	577	407
adam9	369	353	268	188	337	236
adamts10	1194	986	802	323	559	423
adamts15a	1192	1115	914	513	817	703
adamts3	632	683	462	208	291	235
adamts5	359	329	275	62	78	90
adamts9	289	259	232	120	148	152
adar	4831	4370	3557	1891	2685	2401
adarb1a	1513	1303	1094	762	1118	1033
adat1	100	67	67	37	69	63
adat2	77	61	38	31	86	70
adat3	126	103	98	104	195	117.331
adck1	208	196	143	113	211	119
adck3	3103	3048	2347	958	1891	1337
adck5	401	391	355	130	274	181
adcy1a	219	195	207	38	88	92
adcy1b	149	140	129	25	59	46
adcy2b	536	581	474	267	402	337
adcy3	434	396	371	131	188	174
adcy5	526	475	419	236	290	289
adcy7	520	423	352	115	184	173
adcy8	590	557	414	271	357	372
adcyap1a	72	53	65	15	55	22
adcyap1b	3409	2835	2379	1862	3546	2744
adcyap1r1a	457	414	389	136	252.001	231.999
add1	3257	3257	2499	1451	1377	1498
add3a	3171	2885	2392	1106	1778	1518
add3b	269	225	174	82	226	159
adgrg1	1079	1041	743	633	1008	800
adgrl4	264	223	203	107	178	182
adgrv1	4667	4759	3763	3061	2201	3399
adh5	5443	5157	3932	3560	5124	5523
adh8a	13.003	21.005	6	7.003	13.005	13
adh8b	4873.997	4394.995	3155	2218.997	2298.995	3357
adhfe1	285	249	216	105	169	132
adi1	788.45	757.512	563.095	511.841	794.712	618.16
adipoqb	30	15	15	3	7	1
adipor1a	2037	1746	1377	646	1317	928
adipor1b	1516	1436	1094	799	1429	1168
adipor2	3426	3687	2722	1177	1866	1508
adka	4739	4836	3118	3295	4681	4296
adkb	3000	2694	2046	951	2272	1074
adm2a	155	166	112	79	134	126
admp	5	2	3	1	1	2
adnp2a	1039	891	695	609	1047	854
adnp2b	3404	3037	2355	2891	4600	3822
adnpa	6528	6105	4633	3647	5288	4665
adoa	874	761	585	320	528	512
adob	1935	1803	1400	430	557	539
adora1	101	92	76	57	109	77
adora2aa	84	101	64	49	68	44
adora2ab	36	41	24	15	13	29
adora2b	71	79	64	29	75	49
adpgk	857	756	556	338	490	370
adprh	583	516	332	311	619	387
adprhl1	67	78	57	81	79	85
adprhl2	1144	1062	794	605	1036	818
adprm	81	63	60	66	78	62
adra1bb	16	19	14	7	21	12
adra2a	189	155	151	73	142	103
adra2b	152	109	105	95	114	95
adra2c	70	58	53	40	72	32
adra2da	219	215	204	104	178	148
adra2db	21	16	14	4	15	12
adrb1	50	47	27	23	41	47
adrb2a	77	69	41	23	36	38
adrb2b	123	119	95	73	118	85
adrb3a	332	285	225	182	241	149
adrb3b	2	4	2	1	0	0
adrbk2	1315	1169	1036	574	599	750
adrm1	4136	3581	2783	2179	2850	2541
adsl	5575	5239	3913	2231	3934	3144
adss	3359	3052	2589	414	1122	697
adssl	2737	2472	1981	1467	2142	1738
adssl1	9447	7961	6523	2099	4191	2442
aebp2	1586	1465	1188	978	969	1114
aes	640	561	570	311	356	429
afap1l1a	668	707	524	301	528	412
afap1l1b	355	347	243	134	218	194
afg3l2	2432	2214	1691	755	1309	1065
afmid	304	227	212	202	264	255
afp4	25694	28043	17712	30227	36046	33988
aftpha	1551	1414	1221	640	1079	876
aga	458	360	288	168	367	205
agap2	930	704	661	272	465	411
agbl2	64.139	59.034	44	16	27.04	27.01
agbl4	56	36	44	28	40	33
agbl5	904	798	729	331	364	460
agfg1a	872	851	666	578	862	705
agfg1b	992	729	600	488	816	622
aggf1	740	601	481	295	486	436
agk	1543	1355	1028	722	1426	954
agla	4022	3666	2862	1347	1587	1564
agmat	160	144	111	24	82	36
agmo	268	215	146	69	162	116
ago2	893	925	684	429	563	450
ago3b	418	355	294	252	428	318
ago4	4094	3457	3024	1382	1224	1523
agpat2	2297	1996	1619	859	1459	1180
agpat3	4363	3959	3202	1368	2320	1818
agpat4	762	714	579	494	828	687
agpat5	1677	1334	1122	1082	1868	1430
agpat6	2035	1848	1503	1072	1634	1595
agpat9	1798	1564	1226	682	1394	836
agpat9l	424	372	255	263	443	366
agps	861	742	668	372	601	421
agr1	7358	6878	5115	2713	4750	3969
agr2	2996	2692	1946	3132	5332	3105
agrn	5873	5739	4484	2690	2294	3316
agrp2	166	156	100	60	116	101
agt	428	486	315	112	478	327
agtpbp1	1460	1414	1136	535	763	634
agtr2	554	522	435	216	363	284
agtrap	171	178	137	104	136	122
agxt2	438	399	310	231	427	342
agxta	218	158	166	72	192	104
agxtb	1099	870	809	28	323	39
ahcy	48400	45748	35009	26006	36552	39407
ahcyl1	3164	2746	2084	1127	2341	1684
ahcyl2	3288	3107	2575	1234	2017	1892
ahi1	664	658	526	319	572	563
ahr1a	17	23	11	4	11	1
ahr1b	1323	1193	1046	359	779	503
ahr2	6575	6541	4848	2405	4337	3604
ahrra	33	25	29	2	6	7
ahrrb	26	29	21	6	5	3
ahsa1a	237	223	129	66	280	176
ahsa1b	1568	1390	1035	1455	2404	1781
ahsg1	3	6	2	1	5	3
aicda	0	0	0	0	0	1
aida	560	521	352	454	769	523
aif1l	3886	3442	2925	2304	3766	3382
aifm1	2020	1657	1371	967	1533	1169
aifm2	1431	1226	905	846	1822	1040
aifm3	128	123	82	45	62	72
aifm4	477	412	300	217	491	197
aimp1	3941	3767	2882	1763	3631	2318
aimp2	3588	3074	2669	2072	2859	2484
aip	3736	3285	2431	2082	3872	2666
aire	13	6	4	6	3	6
ak1	20485	19146	14483	6109	16981	8985
ak2	3090	2679	2226	1941	2505	2288
ak3	1436	1306	964	1061	1515	1337
ak4	1106	982	831	379	537	430
ak5	212	207	137	57	131	95
ak5l	356	311	215	161	258	198
ak7a	253	239	170	87	157	192
ak7b	124	101	88	50	93	96
ak8	178	147	101	45	92	72
akap12b	22028	21034	15591	13151	19352	17750
akap17a	926	859	675	449	747	591
akap1b	3298	2972	2349	1389	1508	1832
akap2	2781	2623	1935	1377	1795	1600
akap8l	5733	5122	4475	3575	4236	3958
akip1	46	35	35	25	48	26
akirin1	3157	2680	2084	2199	3189	2810
akirin2	2988	2816	2232	1774	2381	2253
akr1a1a	597	587	390	495	536	506
akr1a1b	1184	1014	771	490	904	593
akr1b1	1751	1801	1345	1090	1993	1432
akr7a3	783	638	522	453	692	512
akt1	388	395	349	159	164	190
akt2	5682	5458	4217	2174	2805	2435
akt2l	1386	1320	1029	607	981	998
akt3a	152	164	119	114	142	122
aktip	2243	1920	1487	948	1799	1288
alad	635	544	506	452	617	408
alas1	3200	3024	2286	1585	1943	1760
alas2	7776	6793	6374	4422	5198	1435
alcama	5760	5280	4046	2665	4442	3607
alcamb	7653	6788	5224	3756	7165	5253
aldh16a1	786	669	607	390	556	449
aldh18a1	3846	3674	2735	2141	3431	3233
aldh1a2	2602	2348	1715	1078	2163	1568
aldh1a3	322	268	241	164	278	199
aldh1l1	3531	3248	2472	1878	3275	2610
aldh2.1	2961.042	2552.117	2017.187	2060.832	2854.612	2453.635
aldh2.2	4245.958	3618.883	2929.813	2403.168	3654.388	3136.365
aldh3a2a	558	475	343	419	720	573
aldh3a2b	120	84	73	70	99	80
aldh3b1	808	628	518	374	860	440
aldh4a1	1496	1340	1060	879	1307	1322
aldh5a1	524	453	447	195	326	306
aldh6a1	7600	7125	5347	3568	6152	4864
aldh7a1	5659	4899	3912	2510	5320	3273
aldh8a1	575	511	390	412	662	584
aldh9a1a.1	16469.925	14833.919	12098.799	11118.108	16499.309	17047.429
aldh9a1a.2	145.075	137.081	110.201	101.892	186.691	82.571
aldh9a1b	1573	1289	1025	694	1220	878
aldoaa	31251	29049	22920	15753	23926	20288
aldoab	32628	30582	24473	11302	25665	16366
aldob	47321	53414	34319	47459	49872	68158
aldoca	19	9	6	9	18	21
aldocb	12758	11180	8976	3842	7004	6635
alg1	388	316	276	271	386	396
alg11	565	493	360	311	510	415
alg12	462	361	292	376	545	415
alg13	5	6	2	1	3	2
alg14	179	161	125	136	212	181
alg2	637	584	437	495	722	561
alg3	971	808	676	492	801	650
alg5	1295	1197	940	737	1512	1008
alg6	1140	1010	757	513	953	736
alg8	504	426	337	329	543	449
alg9	1339	1235	1016	706	1283	1176
alkbh1	211	205	153	99	175	161
alkbh2	185	134	85	95	175	141
alkbh3	181	177	167	98	131	120
alkbh5	1012	899	729	299	435	456
alkbh6	373	320	266	248	418	340
alkbh7	454	434	350	199	429	280
allc	52	43	31	11	28	9
alox12	2380	2192	1585	2180	2779	2739
alox5a	184	227	145	99	140	120
alox5ap	39	35	21	15	29	23
alox5b.2	3	2	1	2	6	3
alox5b.3	31	16	18	166	192	24
alp3	10	11	7	2	4	3
alpi.1	883	823	627	421	534	419
alpi.2	25	19	16	32	64	11
alpl	756	648	537	298	526	430
alx1	278	282	222	116	237	153
alx4b	248	193	160	64	85	114
alyref	6952	6532	5673	3986	3688	4242
amacr	203	155	124	103	194	114
ambp	5441	5074	3665	2733	4252	3626
ambra1a	867	851	641	387	457	515
ambra1b	1761	1770	1429	792	755	940
amd1	10454	9370	7377	4890	7414	7237
amdhd1	146	138	106	173	266	200
amdhd2	963	967	727	604	845	779
amer2	2657	2216	1760	1268	1414	1595
amfr	2444	2136	1745	1065	1865	1600
amh	18	16	12	3	8	3
ammecr1	1331	1122	1018	656	751	897
amn1	272	212	199	103	166	131
amotl2a	5313	5240	4017	2070	2616	2538
amotl2b	1952	1866	1426	533	863	929
ampd1	21051	17325	14508	1591	7464	3269
ampd3b	539	527	401	274	445	367
amph	3989	3250	2748	1530	2772	2328
amt	787	649	495	330	655	403
amy2a	18	17	8	4	6	19
anapc10	387	357	267	266	430	344
anapc11	335	341	237	137	314	238
anapc13	395	332	253	215	335	260
anapc15	447	380	282	212	377	365
anapc16	1023	929	686	521	839	649
anapc2	959	822	649	461	770	619
anapc4	568	554	386	367	578	417
anapc5	504	426	338	249	320	330
anapc7	758	661	573	298	530	418
and1	18308	16056	13507	1212	5381	2147
and2	29020	24564	20339	971	4279	1746
and3	6062	4934	4275	262	1233	437
angel2	1060	995	740	527	970	761
angpt1	316	310	245	157	256	232
angpt2a	19	24	11	10	23	16
angpt2b	223	161	118	61	88	90
angptl1a	355	322	255	124	248	184
angptl2a	534	425	391	80	206	148
angptl2b	1788	1525	1212	495	751	676
angptl3	930	725	538	518	698	930
angptl4	5365	6363	3780	2270	4035	3039
angptl6	179	123	101	113	141	151
angptl7	2545	2036	1651	517	1396	914
ank1a	2447	2069	1671	673	1773	1164
ank2b	948	920	749	470	635	727
ankar	30	31	28	17	24	18
ankdd1a	252	218	171	84	156	121
ankef1a	66	59	47	28	45	43
ankfy1	3842	3431	2660	1939	2745	2591
ankha	106	104	73	23	79	45
ankhb	1317	1178	1015	483	813	678
ankhd1	7351	7191	5780	3260	2465	3473
ankib1a	619	554	479	260	303	340
ankk1	198	199	132	92	152	120
ankle2	367	310	254	244	242	322
ankmy2a	824	650	492	331	593	497
ankra2	1670	1408	1025	821	1350	1170
ankrd10a	464	416	294	291	450	401
ankrd10b	578	453	413	210	414	303
ankrd12	1477	1587	1233	563	996	939
ankrd13a	516	456	338	218	341	316
ankrd13b	81	60	57	18	38	41
ankrd13c	4226	3679	3177	1840	2797	2305
ankrd16	127	95	74	114	127	129
ankrd1b	4273.445	3275.971	2717.773	10	453	16
ankrd22	120	119	87	73	182	110
ankrd29	318	261	208	63	153	90
ankrd31	4	3	0	1	2	2
ankrd34bb	24	18	23	23	25	13
ankrd37	1209	1349	850	76	101	118
ankrd39	61	67	55	12	19	40
ankrd45	33	33	17	20	37	30
ankrd46b	647	541	443	262	466	357
ankrd49	369	338	261	177	373	250
ankrd52a	1533	1470	1242	572	590	632
ankrd54	1241	1213	968	724	1024	852
ankrd6b	734	654	515	340	429	538
ankrd9	1520	1967	1549	210	385	321
anks1b	1288	1243	1032	530	695	637
anks3	452	432	345	162	306	235
anks4b	171	143	117	49	129	77
anln	3836	3675	2873	1936	2531	2522
ano1	604	535	417	289	427	455
ano10a	1517	1454	1115	1025	1764	1325
ano10b	466	388	334	321	476	496
ano2	77	71	48	26	36	34
ano5b	1461	1395	1046	722	1377	1112
ano9a	25.046	27	14	435.95	43	284.511
anos1a	1694	1453	1219	597	1065	788
anos1b	924	859	699	426	500	560
anp32a	18552	17405	14000	11771	21204	15182
anp32b	10289	9935	7624	6319	11612	8835
anp32e	19855	17337	14361	7644	17178	11092
anpepa	23	24	13	4	10	14
anpepb	17	31	12	5	24	16
antxr2a	640	570	453	231	522	307
antxr2b	108	84	73	41	103	79
anxa11a	5634	5091	4027	2047	4066	2710
anxa11b	4325	4142	3430	924	1174	1644
anxa13	3470	3058	2367	1268	2909	1881
anxa13l	809	667	487	363	722	540
anxa1a	6809	6574	4170	7013	9110	8345
anxa1b	3632	3407	2483	1618.822	2067.932	2943
anxa1c	4441	4573	3031	4007.178	6884.068	3706
anxa2a	5147	5499	3449	3774	7981	4577
anxa2b	171	138	85	39	149	52
anxa3a	1348.33	1394.151	806.485	954.509	1465.25	1418.511
anxa3b	2089	1743	1351	859	1560	1289
anxa4	1106	1295	901	214	432	225
anxa5a	143	111	97	42	95	81
anxa5b	2160	1912	1304	1166	2638	1638
anxa6	519	663	161	489	1237	31
aoc1	5	7	2	0	2	0
aoc2	3474	2978	2457	1055	2704	1653
aox5	2992	2914	2261	1507	2466	2004
aox6	408	333	287	98	222	183
ap1ar	160	157	135	163	167	200
ap1b1	4813	4105	3416	1941	3079	2550
ap1g1	2700	2786	2070	1118	1198	1397
ap1g2	1777.965	1555.211	1287.346	735.338	1408.994	1079.977
ap1m2	530	517	430	268	364	273
ap1m3	524	472	375	218	538	374
ap1s1	1747	1532	1137	834	1891	1085
ap1s2	3416	3207	2256	2198	3414	2913
ap1s3a	48	39	40	29	50	23
ap1s3b	577	480	345	287	584	397
ap2b1	8619	7714	6489	3756	5545	5216
ap2m1a	11285	10188	8419	5212	10184	6949
ap2m1b	6294	5457	4641	2792	4526	4238
ap2s1	6134	5338	4048	2943	5762	4015
ap3d1	3402	3376	2844	1237	1468	1643
ap3m1	866	815	496	573	857	742
ap3m2	2216	1934	1553	1026	1760	1532
ap3s2	1357	1247	934	764	1228	966
ap4b1	631	522	509	223	294	333
ap4m1	425	351	275	172	350	266
ap4s1	19	24	17	21	46	20
ap5m1	283	229	156	134	264	206
