gene_id	WT_48hpf_R1	WT_48hpf_R2	WT_48hpf_R3	MT_48hpf_R1	MT_48hpf_R2	MT_48hpf_R3
tm4sf4	139	130	96	40	66	48
tm4sf5	4	0	3	3	7	0
tm6sf2	197	205	154	138	150	201
tm7sf2	548	534	387	211	449	242
tm9sf1	698	521	522	382	696	549
tm9sf2	9589	8336	6906	4943	9134	6508
tm9sf3	3072	2507	2000	1463	2545	2244
tm9sf4	3880	3439	2694	2094	3735	2827
tma16	603	528	397	362	663	478
tma7	3551.828	3062.404	2188.007	1862.047	3853.284	2508.111
tmbim1	531	449	392	220	357	254
tmbim4	3013	2612	2056	1244	2258	1838
tmc2a	55	38	36	41	45	48
tmc6b	453	462	377	266	346	368
tmcc1b	1558	1316	1130	702	1037	896
tmcc2	648	621	489	242	259	328
tmcc3	1670	1556	1223	761	1480	1125
tmco1	1533	1238	1039	986	1750	1453
tmco6	220	204	163	172	264	163
tmed10	9003	8061	6378	5192	9291	7055
tmed1a	337	388	325	333	395	508
tmed1b	363	300	285	245	350	294
tmed2	7850	6926	5710	4361	7548	5673
tmed3	1241	1091	816	761	1479	901
tmed4	2371	1928	1512	1153	1772	1672
tmed5	825	690	584	435	746	561
tmed7	2992	2558	2192	1394	1930	1933
tmed8	1096	961	749	465	856	685
tmed9	6081	5297	4223	3610	7020	4717
tmeff1b	8672	7939	6448	5982	9258	7917
tmeff2a	808	722	603	219	299	274
tmem106a	1021	970	690	423	811	652
tmem106ba	2120	1997	1433	586	1429	777
tmem106bb	928	850	649	335	606	459
tmem106c	892.727	880	748.74	391	605	644.645
tmem107	488	414	340	349	350	401
tmem11	1378	1327	1277	791	838	866
tmem110	560	504	394	328	516	388
tmem110l	1355	1352	1141	765	1359	1017
tmem115	653	598	535	469	691	508
tmem117	9	8	6	9	14	19
tmem119b	1110	873	723	465	897	591
tmem120a	373	309	247	208	327	227
tmem120b	293	252	188	245	352	265
tmem125b	144	119	88	77	77	88
tmem126a	553	483	329	203	362	252
tmem127	811	711	632	452	544	672
tmem128	419	386	348	209	322	258
tmem129	518	465	318	173	368	326
tmem130	590	552	419	300	416	355
tmem132e	1715	1803	1346	935	1249	1300
tmem134	945	867	618	687	1114	803
tmem135	1331	1138	912	566	1106	739
tmem136a	997	828	674	607	881	838
tmem136b	81	53	39	12	31	20
tmem141	107	99	58	76	100	72
tmem144a	454	322	272	136	343	261
tmem144b	1	1	1	0	1	2
tmem147	2747	2354	1916	1368	2479	1822
tmem14ca	510	441	359	296	512	346
tmem14cb	88	100	72	112	238	166
tmem150aa	332	271	276	124	165	122
tmem150ab	342	307	222	152	236	160
tmem151ba	666	456	476	323	462	441
tmem154	140	116	114	89	164	108
tmem160	247	229	187	131	223	158
tmem161a	948	962	827	451	957	641
tmem161b	1339	1074	881	542	936	763
tmem163a	180	146	129	62	141	89
tmem165	2746	2405	1940	1253	2228	1747
tmem167a	1146	979	846	629	1199	787
tmem167b	1736	1376	1065	780	1393	1020
tmem168a	615	510	445	274	450	396
tmem17	227.861	228.966	152	131	218.96	152.99
tmem170a	469	491	305	234	413	293
tmem173	17	23	14	11	36	11
tmem175	241	203	205	68	130	110
tmem176	433	379	274	221	448	307
tmem176l.4	2573	2203	1873	1609	3781	2032
tmem177	499	461	321	202	426	274
tmem178	477	383	329	183	393	276
tmem178b	337	321	274	151	215	169
tmem179	577	442	390	252	465	403
tmem18	700	598	459	351	684	556
